Precio,Título,Ubicación,Habitaciones,Baños,Metros Cuadrados
1.075.000 €,Piso en Paseo de San Francisco de Sales,Vallehermoso (Distrito Chamberí. Madrid Capital),4 habs.,3 baños,180 m²
290.000 €,Piso en Alcorcón,Parque Oeste-Fuente Cisneros-Campodón (Alcorcón),2 habs.,1 baño,68 m²
250.000 €,Piso en Plaza de Martínez Olmedilla,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),3 habs.,1 baño,99 m²
158.000 €,Piso en calle de Pío XII,Casco Antiguo (Coslada),3 habs.,1 baño,76 m²
382.500 €,"Piso en Avenida Levantge,  S/N",Los Berrocales (Distrito Vicálvaro. Madrid Capital),3 habs.,2 baños,106 m²
270.000 €,Piso en Zona Noreste,Zona Noreste (Torrejón de Ardoz),2 habs.,2 baños,107 m²
239.000 €,Casa adosada en calle de Hontanilla,La Cabrera,4 habs.,3 baños,200 m²
199.900 €,Piso en calle Fuente de la Teja,Las Dehesillas-Vereda de los Estudiantes (Leganés),3 habs.,1 baño,85 m²
1.380.000 €,Piso en calle del General Díaz Porlier,Goya (Distrito Salamanca. Madrid Capital),3 habs.,2 baños,114 m²
1.420.000 €,"Piso en calle de Ana Teresa, 1",Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),363 m²,2ª planta,N/A
250.000 €,Piso en San Isidro,San Isidro (Distrito Carabanchel. Madrid Capital),3 habs.,1 baño,88 m²
871.000 €,Piso en Paseo de la Castellana,Justicia-Chueca (Distrito Centro. Madrid Capital),8 habs.,2 baños,225 m²
230.000 €,Piso en calle de Cristóbal Bordiú,Ríos Rosas (Distrito Chamberí. Madrid Capital),2 habs.,1 baño,35 m²
280.000 €,Piso en calle de Longares,Rosas (Distrito San Blas. Madrid Capital),3 habs.,2 baños,88 m²
5.900.000 €,Chalet en Moncloa - Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),7 habs.,6 baños,1.050 m²
580.000 €,Piso en calle de Embajadores,Delicias (Distrito Arganzuela. Madrid Capital),2 habs.,2 baños,114 m²
789.000 €,Piso en Carrera San Jerónimo,Sol (Distrito Centro. Madrid Capital),2 habs.,2 baños,101 m²
365.000 €,Casa en calle de los Lirios,Navas del Rey,4 habs.,3 baños,356 m²
374.900 €,"Piso en calle de la Virgen de Loreto, 20","Colonia, Avenida de Meco (Distrito El Val. Alcalá de Henares)",4 habs.,2 baños,122 m²
190.000 €,Piso en Laguna Park,Laguna Park (Parla),3 habs.,2 baños,126 m²
3.200.000 €,Piso en calle de Núñez de Balboa,Castellana (Distrito Salamanca. Madrid Capital),4 habs.,4 baños,233 m²
635.000 €,Chalet en calle de Tablada,Alpedrete,3 habs.,2 baños,2.725 m²
380.000 €,Casa unifamiliar en calle de la Amargura,Navalagamella,3 habs.,4 baños,179 m²
80.000 €,Casa en Horcajo de La Sierra,Horcajo de la Sierra-Aoslos,3 habs.,1 baño,98 m²
585.000 €,Chalet en Colmenarejo,Colmenarejo,5 habs.,3 baños,298 m²
254.880 €,"Piso en Avenida de la Comunidad de Madrid, 4",Humanes de Madrid,3 habs.,2 baños,138 m²
122.000 €,Casa adosada en Centro,Robledo de Chavela,5 habs.,1 baño,334 m²
870.000 €,"Piso en calle Iker Casillas, 3",Valdelacasa (Alcobendas),4 habs.,3 baños,156 m²
2.250.000 €,Chalet en Avenida de Fuentelarreina,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),6 habs.,7 baños,510 m²
635.000 €,Piso en calle Raimundo Fernández Villaverde,Cuatro Caminos (Distrito Tetuán. Madrid Capital),3 habs.,2 baños,100 m²
708.000 €,Piso en calle de Luisa Fernanda,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),3 habs.,2 baños,123 m²
